timestamp,vessel_o3_pct,cell_temp_c,pressure_mbar,room_o3_ppm,vessel_temp_c
2026-01-11 23:44:41.274454,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:44:43.276322,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:44:45.270167,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:44:47.371077,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:44:49.277289,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:44:51.269571,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:44:53.307616,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:44:55.275417,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:44:57.355327,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:44:59.269095,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:01.274719,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:45:03.274078,0.0,24.4,1022.1,0.0,16.5
2026-01-11 23:45:05.346167,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:45:07.349372,0.0,24.4,1022.1,0.0,17.0
2026-01-11 23:45:09.289492,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:45:11.351334,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:45:13.320677,0.0,24.4,1022.3,0.0,16.8
2026-01-11 23:45:15.378859,0.0,24.4,1022.1,0.0,17.0
2026-01-11 23:45:17.449723,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:19.399732,0.0,24.4,1022.0,0.0,16.8
2026-01-11 23:45:21.275295,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:23.408031,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:45:25.278190,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:27.318827,0.0,24.4,1022.3,0.0,-999.0
2026-01-11 23:45:29.369873,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:31.339559,0.0,24.4,1022.0,0.0,16.8
2026-01-11 23:45:33.273957,0.0,24.4,1022.1,0.0,16.8
2026-01-11 23:45:35.351817,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:37.272164,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:39.367261,0.0,24.4,1022.0,0.0,-999.0
2026-01-11 23:45:41.274154,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:43.276360,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:45.275132,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:47.268111,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:49.276119,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:51.310396,0.0,24.4,1022.1,0.0,16.6
2026-01-11 23:45:53.292233,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:45:55.326159,0.0,24.4,1022.1,0.0,16.6
2026-01-11 23:45:57.339546,0.0,24.4,1022.3,0.0,16.7
2026-01-11 23:45:59.265836,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:46:01.409049,0.0,24.4,1022.1,0.0,16.6
2026-01-11 23:46:03.279612,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:46:05.275158,0.0,24.4,1022.1,0.0,16.5
2026-01-11 23:46:07.371296,0.0,24.4,1022.3,0.0,-999.0
2026-01-11 23:46:09.279010,0.0,24.4,1022.1,0.0,-999.0
2026-01-11 23:46:11.277833,0.0,24.4,1022.0,0.0,-999.0
2026-01-11 23:46:13.283086,0.0,24.5,1022.1,0.0,-999.0
2026-01-11 23:46:15.265167,0.0,24.5,1022.1,0.0,-999.0
2026-01-11 23:46:17.277169,0.0,24.5,1022.0,0.0,-999.0
2026-01-11 23:46:19.272076,0.0,24.5,1022.1,0.0,16.8
2026-01-11 23:46:21.270360,0.0,24.5,1022.1,0.0,-999.0
2026-01-11 23:46:23.338997,0.0,24.6,1022.1,0.0,-999.0
2026-01-11 23:46:25.503434,0.0,24.6,1022.1,0.0,-999.0
2026-01-11 23:46:27.277594,0.0,24.6,1022.1,0.0,-999.0
2026-01-11 23:46:29.277179,0.0,24.6,1022.1,0.0,16.7
2026-01-11 23:46:31.294458,0.0,24.6,1022.1,0.0,16.8
2026-01-11 23:46:33.300824,0.0,24.6,1022.1,0.0,-999.0
2026-01-11 23:46:35.284690,0.0,24.7,1022.1,0.0,-999.0
2026-01-11 23:46:37.318844,0.0,24.7,1022.1,0.0,-999.0
2026-01-11 23:46:39.278812,0.0,24.7,1022.1,0.0,16.7
2026-01-11 23:46:41.269071,0.0,24.7,1022.1,0.0,16.6
2026-01-11 23:46:43.280484,0.0,24.7,1022.3,0.0,16.8
2026-01-11 23:46:46.012735,0.0,24.7,1022.1,0.0,16.7
2026-01-11 23:46:47.278312,0.0,24.8,1022.0,0.0,-999.0
2026-01-11 23:46:49.384461,0.0,24.8,1022.0,0.0,16.6
2026-01-11 23:46:51.286028,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:46:53.392238,0.0,24.8,1022.0,0.0,-999.0
2026-01-11 23:46:55.359497,0.0,24.8,1022.0,0.0,-999.0
2026-01-11 23:46:57.297375,0.0,24.8,1022.1,0.0,16.6
2026-01-11 23:46:59.266485,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:47:01.286322,0.0,24.8,1022.0,0.0,16.6
2026-01-11 23:47:03.277782,0.0,24.8,1022.0,0.0,16.8
2026-01-11 23:47:05.339125,0.0,24.8,1022.1,0.0,16.6
2026-01-11 23:47:07.368337,0.0,24.8,1022.0,0.0,16.5
2026-01-11 23:47:09.364465,0.0,24.8,1022.1,0.0,16.6
2026-01-11 23:47:11.309118,0.0,24.8,1022.1,0.0,16.8
2026-01-11 23:47:13.371668,0.0,24.8,1022.0,0.0,16.8
2026-01-11 23:47:15.273365,0.0,24.8,1022.0,0.0,16.9
2026-01-11 23:47:17.277662,0.0,24.8,1022.1,0.0,16.8
2026-01-11 23:47:19.285840,0.0,24.8,1022.1,0.0,16.8
2026-01-11 23:47:21.288099,0.0,24.8,1022.1,0.0,16.6
2026-01-11 23:47:23.381450,0.0,24.8,1022.1,0.0,16.7
2026-01-11 23:47:25.294422,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:47:27.379579,0.0,24.8,1022.0,0.0,16.6
2026-01-11 23:47:29.358803,0.0,24.8,1022.1,0.0,16.7
2026-01-11 23:47:31.373092,0.0,24.8,1022.0,0.0,16.8
2026-01-11 23:47:33.299930,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:47:35.308386,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:47:37.408709,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:47:39.313662,0.0,24.8,1022.0,0.0,16.8
2026-01-11 23:47:41.389330,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:47:43.390264,0.0,24.8,1022.3,0.0,-999.0
2026-01-11 23:47:45.295562,0.0,24.8,1022.0,0.0,-999.0
2026-01-11 23:47:47.394018,0.0,24.8,1022.1,0.0,16.7
2026-01-11 23:47:49.390450,0.0,24.8,1022.0,0.0,16.7
2026-01-11 23:47:51.304153,0.0,24.8,1022.0,0.0,16.6
2026-01-11 23:47:53.405546,0.0,24.8,1022.1,0.0,16.6
2026-01-11 23:47:55.379409,0.0,24.8,1022.1,0.0,16.7
2026-01-11 23:47:57.348488,0.0,24.8,1022.1,0.0,16.5
2026-01-11 23:47:59.288355,0.0,24.8,1022.1,0.0,16.9
2026-01-11 23:48:01.373443,0.0,24.8,1022.1,0.0,16.8
2026-01-11 23:48:03.372901,0.0,24.8,1022.1,0.0,16.5
2026-01-11 23:48:05.400010,0.0,24.8,1022.1,0.0,16.7
2026-01-11 23:48:07.398106,0.0,24.8,1022.0,0.0,-999.0
2026-01-11 23:48:09.355583,0.0,24.8,1022.1,0.0,16.8
2026-01-11 23:48:11.409899,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:48:13.422739,0.0,24.8,1022.0,0.0,16.8
2026-01-11 23:48:15.350925,0.0,24.8,1022.3,0.0,-999.0
2026-01-11 23:48:17.307861,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:48:19.364558,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:48:21.279690,0.0,24.8,1022.1,0.0,-999.0
2026-01-11 23:48:23.391960,0.0,24.8,1022.0,0.0,-999.0
2026-01-11 23:48:25.278473,0.0,24.8,1022.1,0.0,-999.0
