timestamp,o3_pct,temp_c,pressure_mbar,sample_v,ref_v
2026-01-02 19:35:37.351,0.0,30.2,1014.9,1.05016,1.1522
2026-01-02 19:35:39.411,0.0,30.2,1015.3,1.05016,1.15217
2026-01-02 19:35:41.356,0.0,30.2,1014.9,1.05014,1.15217
2026-01-02 19:35:43.362,0.0,30.2,1014.9,1.05012,1.15215
2026-01-02 19:35:45.387,0.0,30.2,1014.9,1.05011,1.15214
2026-01-02 19:35:47.362,0.0,30.2,1015.2,1.05009,1.15212
2026-01-02 19:35:49.360,0.0,30.2,1015.2,1.05009,1.15212
2026-01-02 19:35:51.452,0.0,30.2,1015.1,1.05008,1.1521
2026-01-02 19:35:53.353,0.0,30.2,1015.2,1.05006,1.1521
2026-01-02 19:35:55.469,0.0,30.2,1014.9,1.05005,1.15209
