,timestamp,esp_ts_ms,vessel_o3_pct,cell_temp_c,pressure_mbar,sample_v,ref_v,day,month,year,hour,minute,second,room_o3_ppm,vessel_temp_c,power_target_pct,power_actual_pct,wiper_voltage
207,1969-12-31T19:20:50.967,1250967,1.61,22.9,1030.7,0.65074,0.43834,12,1,26,22,32,38,2.56,13.2,68,64.8,2.114
208,1969-12-31T19:21:00.967,1260967,1.56,22.9,1030.7,0.65182,0.44497,12,1,26,22,32,48,2.56,-999,66,66.3,2.161
209,1969-12-31T19:21:08.967,1268967,1.54,22.9,1030.7,0.6527,0.44831,12,1,26,22,32,56,2.56,-999,62,63.3,2.068
210,1969-12-31T19:21:10.968,1270968,1.49,22.9,1030.7,0.6529,0.45596,12,1,26,22,32,58,2.56,13.1,62,61.9,2.024
211,1969-12-31T19:21:14.967,1274967,1.45,22.9,1030.7,0.65333,0.46157,12,1,26,22,33,2,2.56,-999,61,61.1,1.998
212,1969-12-31T19:21:16.967,1276967,1.42,22.9,1030.7,0.65356,0.46596,12,1,26,22,33,4,2.56,-999,60,60.8,1.989
213,1969-12-31T19:21:26.968,1286968,1.32,22.9,1030.7,0.65465,0.48099,12,1,26,22,33,14,2.56,13.2,56,57.4,1.883
214,1969-12-31T19:21:28.967,1288967,1.32,22.9,1030.7,0.65486,0.48138,12,1,26,22,33,16,2.56,13.2,57,57.3,1.878
215,1969-12-31T19:21:32.967,1292967,1.23,22.9,1030.7,0.65528,0.49413,12,1,26,22,33,20,2.56,13.4,57,56.2,1.845
216,1969-12-31T19:21:36.968,1296968,1.19,22.9,1030.7,0.65571,0.50141,12,1,26,22,33,24,2.56,13.4,55,54.4,1.788
217,1969-12-31T19:21:40.967,1300967,1.14,22.9,1030.7,0.65614,0.50889,12,1,26,22,33,28,2.56,13.2,53,52.9,1.742
218,1969-12-31T19:21:44.967,1304967,1.09,22.9,1030.7,0.65658,0.51738,12,1,26,22,33,32,84.477,13.2,52,52.7,1.734
219,1969-12-31T19:21:50.967,1310967,1.01,22.9,1030.7,0.65723,0.53041,12,1,26,22,33,38,2.56,-999,50,50,1.651
220,1969-12-31T19:21:56.967,1316967,0.97,22.9,1030.7,0.65787,0.53769,12,1,26,22,33,44,2.56,13.5,48,48.9,1.617
221,1969-12-31T19:22:12.968,1332968,0.8,22.9,1030.7,0.65958,0.5676,12,1,26,22,34,0,2.56,13.8,42,43.3,1.439
222,1969-12-31T19:22:22.967,1342967,0.72,22.9,1030.7,0.66066,0.58215,12,1,26,22,34,10,2.56,-999,39,40.2,1.342
223,1969-12-31T19:22:24.967,1344967,0.71,22.9,1030.7,0.66087,0.58446,12,1,26,22,34,12,2.56,13.8,39,39.6,1.325
224,1969-12-31T19:22:26.967,1346967,0.68,22.9,1030.8,0.66108,0.5892,12,1,26,22,34,14,2.56,-999,39,39.7,1.326
225,1969-12-31T19:22:30.967,1350967,0.65,22.9,1030.7,0.66152,0.59528,12,1,26,22,34,18,2.56,-999,38,38.9,1.301
226,1969-12-31T19:22:38.968,1358968,0.59,22.9,1030.7,0.66236,0.60759,12,1,26,22,34,26,2.56,-999,36,35.2,1.185
227,1969-12-31T19:22:42.967,1362967,0.56,22.9,1030.7,0.66279,0.61277,12,1,26,22,34,30,2.56,-999,34,35.1,1.183
228,1969-12-31T19:22:46.967,1366967,0.54,22.9,1030.7,0.66322,0.6172,12,1,26,22,34,34,2.56,-999,33,33.4,1.128
229,1969-12-31T19:22:52.967,1372967,0.49,22.9,1030.8,0.66385,0.62705,12,1,26,22,34,40,2.56,-999,30,30.8,1.048
230,1969-12-31T19:22:56.967,1376967,0.46,23,1030.7,0.66429,0.63343,12,1,26,22,34,44,2.56,-999,30,30.5,1.038
231,1969-12-31T19:23:14.968,1394968,0.35,23.1,1030.7,0.66619,0.65687,12,1,26,22,35,2,2.56,13.9,25,25.3,0.874
232,1969-12-31T19:23:24.967,1404967,0.29,23.2,1030.7,0.66725,0.66915,12,1,26,22,35,12,2.56,-999,22,22.9,0.8
233,1969-12-31T19:23:36.967,1416967,0.23,23.3,1030.7,0.66852,0.68261,12,1,26,22,35,24,2.56,13.9,18,17.8,0.638
234,1969-12-31T19:23:46.978,1426978,0.01,23.3,1031.6,0.66956,0.73221,12,1,26,22,35,34,2.56,-999,0,0,0.074
235,1969-12-31T19:24:54.978,1494978,0.01,23.4,1032.4,0.67659,0.74004,12,1,26,22,36,42,2.56,13.8,0,0,0.066
236,1969-12-31T19:25:02.978,1502978,0.01,23.4,1032.4,0.67741,0.74095,12,1,26,22,36,50,2.56,-999,0,0,0.056
