timestamp,esp_ts_ms,vessel_o3_pct,cell_temp_c,pressure_mbar,room_o3_ppm,vessel_temp_c,power_target,power_actual,wiper_v
1969-12-31 19:02:14.948000,134948,0.01,19.7,1026.4,0.0,14.2,0,0.7,0.104
1969-12-31 19:02:16.948000,136948,0.01,19.7,1026.4,0.0,14.0,0,0.9,0.11
1969-12-31 19:02:18.948000,138948,0.01,19.8,1026.3,0.0,14.2,0,0.4,0.094
1969-12-31 19:02:20.948000,140948,0.01,19.8,1026.4,0.0,14.0,0,0.8,0.105
1969-12-31 19:02:22.948000,142948,0.01,19.8,1026.4,0.0,14.2,0,0.4,0.094
1969-12-31 19:02:24.948000,144948,0.01,19.9,1026.4,0.0,14.1,10,10.0,0.393
1969-12-31 19:02:26.948000,146948,0.01,19.9,1026.4,0.0,-999.0,5,4.7,0.23
1969-12-31 19:02:28.948000,148948,0.01,19.9,1026.4,0.0,13.9,0,0.0,0.079
1969-12-31 19:02:30.948000,150948,0.01,19.9,1026.4,0.0,-999.0,0,0.0,0.073
1969-12-31 19:02:32.948000,152948,0.01,19.9,1026.4,0.0,14.0,0,0.0,0.078
1969-12-31 19:02:34.948000,154948,0.01,19.9,1026.3,0.0,-999.0,0,0.0,0.077
1969-12-31 19:02:36.948000,156948,0.01,19.9,1026.3,0.0,14.2,0,0.1,0.085
1969-12-31 19:02:38.948000,158948,0.01,19.9,1026.4,0.0,-999.0,0,0.3,0.091
1969-12-31 19:02:40.948000,160948,0.01,20.0,1026.4,0.0,14.1,0,0.1,0.084
1969-12-31 19:02:42.948000,162948,0.01,20.0,1026.4,0.0,-999.0,0,0.1,0.083
1969-12-31 19:02:44.948000,164948,0.01,20.0,1026.4,0.0,14.0,0,0.2,0.087
1969-12-31 19:02:46.949000,166949,0.02,20.0,1026.5,0.0,-999.0,0,0.0,0.08
1969-12-31 19:02:48.948000,168948,0.01,20.0,1030.1,0.0,-999.0,0,0.2,0.085
1969-12-31 19:02:50.948000,170948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.08
1969-12-31 19:02:52.948000,172948,0.01,20.0,1030.7,0.0,-999.0,0,0.1,0.085
1969-12-31 19:02:54.948000,174948,0.01,20.0,1030.7,0.0,-999.0,0,0.2,0.088
1969-12-31 19:02:56.948000,176948,0.01,20.0,1030.7,0.0,-999.0,0,0.3,0.089
1969-12-31 19:02:58.948000,178948,0.01,20.0,1030.7,0.0,-999.0,0,0.1,0.085
1969-12-31 19:03:00.948000,180948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:03:02.948000,182948,0.01,20.0,1030.8,0.0,-999.0,0,0.4,0.094
1969-12-31 19:03:04.948000,184948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:03:06.948000,186948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.073
1969-12-31 19:03:08.948000,188948,0.01,20.0,1030.5,0.0,-999.0,0,0.0,0.081
1969-12-31 19:03:10.948000,190948,0.01,20.0,1030.8,0.0,14.0,0,0.1,0.083
1969-12-31 19:03:12.948000,192948,0.01,20.0,1030.7,0.0,-999.0,0,0.1,0.082
1969-12-31 19:03:14.948000,194948,0.01,20.0,1030.7,0.0,14.0,0,0.0,0.077
