timestamp,esp_ts_ms,elapsed_s,vessel_o3_pct,cell_temp_c,vessel_temp_c,power_pct,phase
2026-03-10 17:21:43.322493,111468,0.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:21:45.832358,113468,2.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:21:48.341228,115468,4.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:21:50.849249,119468,8.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:21:53.363256,121468,10.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:21:55.866492,123468,12.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:21:58.379785,125468,14.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:00.889001,129468,18.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:03.401617,131468,20.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:05.914890,133468,22.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:08.420977,135468,24.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:10.930615,139468,28.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:13.439318,141468,30.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:15.950392,143468,32.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:18.456143,145468,34.00,0.0,38.0,-999.0,0,baseline
2026-03-10 17:22:29.492247,157468,46.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:31.995774,159468,48.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:34.507866,161468,50.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:37.010395,165468,54.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:39.511912,167468,56.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:42.025975,169468,58.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:44.527138,171468,60.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:47.030244,173468,62.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:49.537147,177468,66.00,0.0,38.0,-999.0,100,fill
2026-03-10 17:22:52.045000,179468,68.00,0.01,38.0,-999.0,100,fill
2026-03-10 17:22:54.562517,181468,70.00,0.02,38.0,-999.0,100,fill
2026-03-10 17:22:57.075565,185468,74.00,0.03,38.0,-999.0,100,fill
2026-03-10 17:22:59.579348,187468,76.00,0.03,38.0,-999.0,100,fill
2026-03-10 17:23:02.084339,189468,78.00,0.05,38.0,-999.0,100,fill
2026-03-10 17:23:04.598639,193467,82.00,0.1,38.0,-999.0,100,fill
2026-03-10 17:23:07.099989,193467,82.00,0.1,38.0,-999.0,100,fill
2026-03-10 17:23:09.603695,195467,84.00,0.14,38.0,-999.0,100,fill
2026-03-10 17:23:12.113242,195467,84.00,0.14,38.0,-999.0,100,fill
2026-03-10 17:23:14.616347,195467,84.00,0.14,38.0,-999.0,100,fill
2026-03-10 17:23:17.120373,205468,94.00,0.24,38.0,-999.0,100,fill
2026-03-10 17:23:19.636058,207467,96.00,0.26,38.0,-999.0,100,fill
2026-03-10 17:23:22.145787,209467,98.00,0.28,38.0,-999.0,100,fill
2026-03-10 17:23:24.656280,213467,102.00,0.32,38.0,-999.0,100,fill
2026-03-10 17:23:27.163395,215467,104.00,0.34,38.0,-999.0,100,fill
2026-03-10 17:23:29.669357,217467,106.00,0.35,38.0,-999.0,100,fill
2026-03-10 17:23:32.180053,219468,108.00,0.37,38.0,-999.0,100,fill
2026-03-10 17:23:34.687132,223467,112.00,0.41,38.0,-999.0,100,fill
2026-03-10 17:23:37.201149,225468,114.00,0.43,38.0,-999.0,100,fill
2026-03-10 17:23:39.706388,227467,116.00,0.45,38.0,-999.0,100,fill
2026-03-10 17:23:42.217072,229467,118.00,0.46,38.0,-999.0,100,fill
2026-03-10 17:23:44.726638,231467,120.00,0.47,38.0,-999.0,100,fill
2026-03-10 17:23:47.230478,235467,124.00,0.51,38.0,-999.0,100,fill
2026-03-10 17:23:49.738749,235467,124.00,0.51,38.0,-999.0,100,fill
2026-03-10 17:23:52.252224,235467,124.00,0.51,38.0,-999.0,100,fill
2026-03-10 17:23:54.755347,235467,124.00,0.51,38.0,-999.0,100,fill
2026-03-10 17:23:57.270661,235467,124.00,0.51,38.0,-999.0,100,fill
