pc_timestamp,esp_timestamp_ms,ozone_wt_pct,temperature_c,pressure_mbar,sample_pdv_v,ref_pdv_v
2025-12-10T16:55:25.222923,1026771,0.21,31.7,1010.9,1.27122,1.15917
2025-12-10T16:55:42.361196,1036771,0.21,31.7,1012.3,1.27213,1.16001
2025-12-10T16:55:45.239391,1046771,0.21,31.7,1011.1,1.27302,1.16081
2025-12-10T16:55:55.229102,1056771,0.21,31.7,1012.0,1.2739,1.16163
2025-12-10T16:56:05.322870,1066770,0.21,31.7,1011.6,1.27474,1.16239
2025-12-10T16:56:15.274800,1076771,0.21,31.7,1011.6,1.27554,1.16314
2025-12-10T16:56:25.233147,1086770,0.21,31.7,1011.3,1.27629,1.16384
2025-12-10T16:56:35.224083,1096771,0.21,31.7,1011.3,1.277,1.16449
2025-12-10T16:56:45.223605,1106771,0.21,31.7,1011.1,1.27772,1.16515
2025-12-10T16:56:55.255030,1116771,0.21,31.7,1011.3,1.27852,1.16592
2025-12-10T16:57:05.231500,1126771,0.21,31.7,1010.9,1.27939,1.16668
2025-12-10T16:57:25.224871,1146771,0.21,31.9,1011.1,1.28111,1.16828
2025-12-10T16:57:35.496946,1156771,0.21,32.0,1010.9,1.28197,1.16907
2025-12-10T16:57:45.251157,1166770,0.21,31.8,1010.9,1.28283,1.16984
2025-12-10T16:57:55.231538,1176771,0.21,32.1,1011.3,1.28365,1.17062
2025-12-10T16:58:05.223338,1186771,0.21,32.0,1010.5,1.2845,1.17138
2025-12-10T16:58:15.230470,1196771,0.21,32.1,1010.7,1.28534,1.17215
2025-12-10T16:58:25.232252,1206771,0.21,32.1,1010.8,1.28617,1.17291
2025-12-10T16:58:35.251507,1216772,0.21,32.1,1010.7,1.28701,1.17367
2025-12-10T16:58:45.259635,1226781,0.21,32.2,1010.5,1.2878,1.17442
2025-12-10T16:58:55.260196,1236781,0.21,32.2,1010.4,1.28863,1.17516
2025-12-10T16:59:05.334050,1246781,0.21,32.2,1010.4,1.28946,1.1759
2025-12-10T16:59:15.234429,1256781,0.21,32.2,1010.5,1.29026,1.17665
2025-12-10T16:59:25.243660,1266781,0.21,32.2,1010.1,1.29106,1.17738
2025-12-10T16:59:35.401534,1276780,0.21,32.2,1010.1,1.29185,1.1781
2025-12-10T16:59:45.235113,1286781,0.21,32.2,1010.4,1.29265,1.17884
2025-12-10T16:59:55.321565,1296781,0.21,32.2,1010.1,1.29343,1.17956
2025-12-10T17:00:05.261728,1306781,0.21,32.2,1010.1,1.29421,1.18026
2025-12-10T17:00:15.245554,1316781,0.21,32.2,1010.1,1.29501,1.18098
2025-12-10T17:00:25.237751,1326781,0.21,32.2,1010.1,1.29578,1.18169
2025-12-10T17:00:35.239458,1336781,0.21,32.2,1010.0,1.29654,1.18241
2025-12-10T17:00:45.234713,1346780,0.21,32.2,1010.1,1.29733,1.1831
2025-12-10T17:00:55.302819,1356781,0.21,32.2,1010.1,1.29806,1.18379
2025-12-10T17:01:05.240987,1366781,0.21,32.2,1010.0,1.29883,1.18448
2025-12-10T17:01:15.233389,1376781,0.21,32.2,1010.0,1.29959,1.18517
2025-12-10T17:01:25.260635,1386781,0.21,32.2,1010.3,1.30034,1.18586
2025-12-10T17:01:35.239912,1396785,0.21,32.2,1009.9,1.30109,1.18655
2025-12-10T17:01:45.235892,1406781,0.21,32.2,1010.3,1.30185,1.18723
2025-12-10T17:01:55.252782,1416781,0.21,32.3,1009.9,1.30258,1.18791
2025-12-10T17:02:05.243895,1426781,0.21,32.4,1009.7,1.30332,1.18857
2025-12-10T17:02:15.240909,1436781,0.21,32.4,1010.4,1.30405,1.18923
2025-12-10T17:02:25.239668,1446781,0.21,32.4,1009.9,1.30476,1.1899
2025-12-10T17:02:35.241662,1456781,0.21,32.5,1009.7,1.30549,1.19058
2025-12-10T17:02:45.253427,1466781,0.21,32.6,1010.1,1.30624,1.19123
2025-12-10T17:02:55.339150,1476781,0.21,32.6,1009.7,1.30697,1.19191
2025-12-10T17:03:05.228663,1486780,0.21,32.6,1009.9,1.30771,1.19256
2025-12-10T17:03:15.256660,1496781,0.21,32.6,1010.0,1.30842,1.19322
2025-12-10T17:03:25.236262,1506781,0.21,32.7,1010.5,1.30913,1.19387
2025-12-10T17:03:35.239157,1516781,0.21,32.7,1010.3,1.30984,1.19452
2025-12-10T17:03:45.241363,1526781,0.21,32.7,1010.1,1.31055,1.19517
2025-12-10T17:03:55.240991,1536781,0.21,32.7,1009.7,1.31125,1.1958
2025-12-10T17:04:05.332443,1546781,0.21,32.7,1010.0,1.31195,1.19645
2025-12-10T17:04:15.244534,1556781,0.21,32.7,1009.9,1.31264,1.19707
2025-12-10T17:04:25.253293,1566781,0.21,32.7,1010.0,1.31334,1.19772
2025-12-10T17:04:35.238848,1576781,0.21,32.7,1010.0,1.31404,1.19833
2025-12-10T17:04:45.244314,1586781,0.21,32.7,1010.1,1.31473,1.19898
2025-12-10T17:04:55.249802,1596781,0.21,32.7,1010.1,1.31541,1.19959
2025-12-10T17:05:05.241211,1606781,0.21,32.7,1010.1,1.31608,1.20019
2025-12-10T17:05:15.260747,1616781,0.21,32.7,1010.1,1.31675,1.20081
2025-12-10T17:05:25.278557,1626781,0.21,32.7,1009.9,1.31743,1.20143
2025-12-10T17:05:35.240137,1636780,0.21,32.7,1010.1,1.31811,1.20205
2025-12-10T17:05:45.249571,1646781,0.21,32.7,1010.1,1.31878,1.20266
2025-12-10T17:05:55.244289,1656781,0.21,32.7,1010.0,1.31944,1.20326
2025-12-10T17:06:05.239856,1666781,0.21,32.7,1010.3,1.32009,1.20385
2025-12-10T17:06:15.280428,1676781,0.21,32.7,1010.0,1.32075,1.20445
2025-12-10T17:06:25.243281,1686781,0.21,32.7,1010.1,1.3214,1.20505
2025-12-10T17:06:35.247265,1696781,0.21,32.8,1010.0,1.32204,1.20563
2025-12-10T17:06:45.267148,1706780,0.21,32.8,1010.0,1.32268,1.20621
2025-12-10T17:06:55.352053,1716781,0.21,32.9,1010.0,1.32331,1.20678
2025-12-10T17:07:05.239745,1726781,0.21,32.9,1009.9,1.32396,1.20737
2025-12-10T17:07:15.240494,1736780,0.21,33.0,1009.9,1.3246,1.20794
2025-12-10T17:07:25.255377,1746781,0.21,33.0,1009.9,1.32521,1.20849
2025-12-10T17:07:35.236681,1756781,0.21,33.1,1010.1,1.32584,1.20909
2025-12-10T17:07:45.244777,1766781,0.21,33.1,1010.1,1.32646,1.20963
2025-12-10T17:07:55.270442,1776781,0.21,33.1,1010.0,1.32709,1.21021
2025-12-10T17:08:05.254281,1786781,0.21,33.1,1010.1,1.32771,1.21077
2025-12-10T17:08:15.241925,1796781,0.21,33.1,1010.0,1.32834,1.21134
2025-12-10T17:08:25.249993,1806781,0.21,33.1,1010.0,1.32894,1.21188
2025-12-10T17:08:35.241889,1816781,0.21,33.1,1010.0,1.32956,1.21244
2025-12-10T17:08:45.244563,1826781,0.21,33.1,1010.0,1.33016,1.213
2025-12-10T17:08:55.250383,1836781,0.21,33.1,1010.0,1.33079,1.21354
2025-12-10T17:09:05.244945,1846781,0.21,33.1,1009.9,1.33137,1.21408
2025-12-10T17:09:15.372597,1856791,0.21,33.1,1009.9,1.33197,1.21462
2025-12-10T17:09:25.250810,1866791,0.21,33.1,1010.0,1.33257,1.21517
2025-12-10T17:09:35.260573,1876791,0.21,33.1,1010.0,1.33318,1.21572
2025-12-10T17:09:45.254362,1886791,0.21,33.1,1009.9,1.33376,1.21626
2025-12-10T17:09:55.264596,1896791,0.21,33.1,1010.0,1.33435,1.21679
2025-12-10T17:10:05.295269,1906791,0.21,33.1,1010.0,1.33494,1.21733
2025-12-10T17:10:15.257639,1916791,0.21,33.1,1010.1,1.33552,1.21784
2025-12-10T17:10:25.321175,1926791,0.21,33.1,1010.0,1.33609,1.21837
2025-12-10T17:10:35.262075,1936791,0.21,33.1,1010.0,1.33666,1.21888
2025-12-10T17:10:45.279282,1946791,0.21,33.1,1009.9,1.33725,1.2194
2025-12-10T17:10:55.294563,1956791,0.21,33.1,1009.9,1.33782,1.21992
2025-12-10T17:11:05.275638,1966791,0.21,33.1,1009.9,1.33839,1.22045
2025-12-10T17:11:15.276114,1976791,0.21,33.2,1010.0,1.33894,1.22093
2025-12-10T17:11:25.258883,1986791,0.21,33.2,1010.0,1.33953,1.22144
2025-12-10T17:11:35.260402,1996791,0.21,33.2,1010.0,1.34008,1.22196
2025-12-10T17:11:45.454381,2006791,0.21,33.2,1009.9,1.34064,1.22247
2025-12-10T17:11:55.265253,2016794,0.21,33.2,1010.0,1.3412,1.22297
2025-12-10T17:12:05.351631,2026791,0.21,33.3,1009.7,1.34174,1.22346
2025-12-10T17:12:15.279047,2036791,0.21,33.3,1010.0,1.34229,1.22397
2025-12-10T17:12:25.257041,2046791,0.21,33.4,1010.0,1.34284,1.22444
